 ,1994,1997,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
København,157207,172856,189159,198337,206986,213391,217411,223114,231359,244087,255034,263569,264067,271857,277048,282824,288110,294796
Frederiksberg,189530,212146,234013,245138,256128,259069,261578,270507,279473,296988,305878,308755,308337,323858,326855,336108,345094,353406
Albertslund,173912,187986,202838,208643,216242,220921,222868,226906,230819,240246,248827,256722,254578,260044,259955,264922,265559,270427
Brøndby,169097,180688,193588,203317,210615,215818,219228,224035,231214,239198,248414,257466,254863,259871,261804,263907,266110,268436
Glostrup,178336,194094,209614,221040,228662,234158,238196,245246,253284,261487,273678,281792,280390,288112,290727,293181,297047,299591
Hvidovre,170589,187023,201681,208994,217803,223387,227819,234441,242344,250721,262933,271440,270983,279253,280589,286178,288966,294413
Høje-Taastrup,180567,199865,213866,221972,231422,236305,239291,243791,252776,259797,272011,279445,278146,280800,282688,285254,287564,290763
Ishøj,171028,184886,198035,205233,213722,218847,221844,224898,231588,238194,247658,253059,251108,256901,257168,260658,262342,263608
Rødovre,173311,188399,201985,209977,219099,223216,228157,233310,242442,250946,263140,274901,269582,276618,278523,283406,288563,293974
Vallensbæk,208925,230775,248435,258675,268356,273485,278617,281856,289606,299079,310822,313819,310134,320514,320512,325987,330275,340046
Greve,195623,219764,237779,249325,259170,264630,267593,274277,283675,292998,311348,310629,302682,312940,315484,319768,324892,329628
Solrød,202392,226524,248096,260778,271478,277070,282193,288393,300043,311933,333009,327617,314106,328865,332781,339853,339966,354050
